Date;Open;High;Low;Close;Price;Volume;Dividends;Stock Splits;;
13/08/2019;11.385.052.734.375,00;114.200.498.046.875,00;108.303.271.484.375,00;10.895.830.078.125,00;-489222656250,00;16681503537;0.0;0.0;;
14/08/2019;108.894.873.046.875,00;10.889.556.640.625,00;100.281.357.421.875,00;100.517.041.015.625,00;-8377832031250,00;19990838300;0.0;0.0;;
15/08/2019;10.038.421.875,00;104.374.111.328.125,00;967.531.640.625,00;103.115.458.984.375,00;103105420562500,00;22899115082;0.0;0.0;;
16/08/2019;10.319.419.921.875,00;10.524.349.609.375,00;9.855.478.515.625,00;103.743.388.671.875,00;93423968750000,00;20228207096;0.0;0.0;;
17/08/2019;1.035.872.265.625,00;10.452.625,00;100.866.982.421.875,00;10.231.744.140.625,00;9195871875000,00;13778035685;0.0;0.0;;
18/08/2019;10.233.005.859.375,00;104.870.703.125,00;101.190.947.265.625,00;10.345.810.546.875,00;112804687500,00;12999813869;0.0;0.0;;
19/08/2019;10.350.283.203.125,00;109.160.537.109.375,00;103.132.041.015.625,00;109.160.537.109.375,00;98810253906250,00;16038264603;0.0;0.0;;
20/08/2019;109.163.466.796.875,00;109.470.419.921.875,00;106.189.609.375,00;10.763.232.421.875,00;-98400234375000,00;15053082175;0.0;0.0;;
21/08/2019;10.764.572.265.625,00;107.987.294.921.875,00;99.627.216.796.875,00;101.380.498.046.875,00;90615925781250,00;19473084768;0.0;0.0;;
22/08/2019;10.142.521.484.375,00;1.023.299.609.375,00;9.831.462.890.625,00;101.310.556.640.625,00;91168035156250,00;17097508856;0.0;0.0;;
23/08/2019;101.363.095.703.125,00;10.442.443.359.375,00;100.781.923.828.125,00;1.040.796.484.375,00;-100322299218750,00;15627023886;0.0;0.0;;
24/08/2019;1.040.764.453.125,00;104.180.205.078.125,00;9.982.296.875,00;101.599.609.375,00;-939164843750,00;15451030650;0.0;0.0;;
25/08/2019;101.607.373.046.875,00;103.046.220.703.125,00;100.087.890.625,00;10.138.517.578.125,00;-91468855468750,00;14153856610;0.0;0.0;;
26/08/2019;101.262.998.046.875,00;10.512.328.125,00;101.262.998.046.875,00;103.708.203.125,00;-101159289843750,00;18438654080;0.0;0.0;;
27/08/2019;10.372.826.171.875,00;10.381.328.125,00;1.008.730.078.125,00;10185.5;#VALORE!;14762609503;0.0;0.0;;
28/08/2019;102.034.267.578.125,00;102.793.662.109.375,00;971.665.625,00;97.544.228.515.625,00;-4490039062500,00;17603790323;0.0;0.0;;
29/08/2019;97.567.861.328.125,00;97.567.861.328.125,00;94.216.298.828.125,00;95.102.001.953.125,00;-2465859375000,00;17045878501;0.0;0.0;;
30/08/2019;95.148.447.265.625,00;96.561.240.234.375,00;9.428.302.734.375,00;9.598.173.828.125,00;-85550273437500,00;13595263986;0.0;0.0;;
31/08/2019;95.975.390.625,00;9.673.220.703.125,00;95.317.998.046.875,00;96.306.640.625,00;331250000,00;11454806419;0.0;0.0;;
01/09/2019;96.305.927.734.375,00;9.796.755.859.375,00;95.829.443.359.375,00;9.757.970.703.125,00;-86547957031250,00;11445355859;0.0;0.0;;
02/09/2019;97.574.736.328.125,00;10.396.591.796.875,00;9.730.650.390.625,00;103.467.607.421.875,00;5892871093750,00;17248102294;0.0;0.0;;
03/09/2019;103.457.255.859.375,00;107.361.044.921.875,00;103.085.478.515.625,00;106.235.400.390.625,00;2778144531250,00;19384917989;0.0;0.0;;
04/09/2019;106.211.806.640.625,00;1.076.264.453.125,00;104.347.099.609.375,00;105.944.931.640.625,00;-266875000000,00;16742664769;0.0;0.0;;
05/09/2019;1.058.818.359.375,00;1.062.726.953.125,00;1.051.641.796.875,00;10.575.533.203.125,00;9516714843750,00;14551239508;0.0;0.0;;
06/09/2019;105.781.982.421.875,00;1.089.876.171.875,00;102.922.998.046.875,00;10.353.302.734.375,00;-95428679687500,00;19536574783;0.0;0.0;;
07/09/2019;10.353.931.640.625,00;10.558.673.828.125,00;103.489.189.453.125,00;105.172.548.828.125,00;94818617187500,00;15307366476;0.0;0.0;;
08/09/2019;105.181.142.578.125,00;105.956.376.953.125,00;104.090.908.203.125,00;104.412.763.671.875,00;-768378906250,00;13670567493;0.0;0.0;;
09/09/2019;10.443.228.515.625,00;104.503.115.234.375,00;101.449.296.875,00;10.334.974.609.375,00;-108253906250,00;17595943368;0.0;0.0;;
10/09/2019;10.336.408.203.125,00;10.394.353.515.625,00;100.205.732.421.875,00;101.159.755.859.375,00;90823347656250,00;14906809639;0.0;0.0;;
11/09/2019;1.012.303.515.625,00;102.159.482.421.875,00;99.807.763.671.875,00;101.783.720.703.125,00;100771417187500,00;15428063426;0.0;0.0;;
12/09/2019;101.768.193.359.375,00;1.044.225.390.625,00;100.992.421.875,00;10.410.126.953.125,00;-91358066406250,00;15323563925;0.0;0.0;;
13/09/2019;104.153.623.046.875,00;104.414.892.578.125,00;102.265.966.796.875,00;10.360.546.875,00;-104143262500000,00;14109864675;0.0;0.0;;
14/09/2019;103.454.033.203.125,00;104.221.337.890.625,00;102.916.943.359.375,00;10.358.048.828.125,00;-93095984375000,00;13468713124;0.0;0.0;;
15/09/2019;103.564.658.203.125,00;1.038.703.515.625,00;103.130.927.734.375,00;10.347.712.890.625,00;-93216945312500,00;12043433567;0.0;0.0;;
16/09/2019;1.034.722.265.625,00;103.868.671.875,00;10.189.744.140.625,00;102.767.939.453.125,00;101733217187500,00;15160167779;0.0;0.0;;
17/09/2019;10.281.513.671.875,00;10.296.771.484.375,00;101.997.392.578.125,00;102.412.724.609.375,00;92131210937500,00;15304603363;0.0;0.0;;
18/09/2019;102.477.958.984.375,00;102.759.287.109.375,00;101.914.697.265.625,00;10.198.248.046.875,00;-92279710937500,00;16169268880;0.0;0.0;;
19/09/2019;1.020.049.609.375,00;102.956.689.453.125,00;98.516.923.828.125,00;102.664.150.390.625,00;101644100781250,00;19937691247;0.0;0.0;;
20/09/2019;10.266.318.359.375,00;102.858.720.703.125,00;101.321.865.234.375,00;101.816.416.015.625,00;91550097656250,00;14734189639;0.0;0.0;;
21/09/2019;101.836.484.375,00;1.018.809.765.625,00;100.007.080.078.125,00;10.019.716.796.875,00;9917880312500,00;13425266806;0.0;0.0;;
22/09/2019;10.024.115.234.375,00;100.744.443.359.375,00;9.922.533.203.125,00;10.070.392.578.125,00;46277343750,00;13199651698;0.0;0.0;;
23/09/2019;10.067.962.890.625,00;1.007.423.828.125,00;97.271.435.546.875,00;972.932.421.875,00;-9095030468750,00;15144925408;0.0;0.0;;
24/09/2019;97.293.212.890.625,00;98.043.173.828.125,00;83.708.017.578.125,00;862.056.640.625,00;-96431156250000,00;25002886689;0.0;0.0;;
25/09/2019;86.034.287.109.375,00;8.744.828.125,00;8.325.396.484.375,00;84.869.931.640.625,00;-1164355468750,00;21744728353;0.0;0.0;;
26/09/2019;8.487.669.921.875,00;8.515.685.546.875,00;789.562.939.453.125,00;81.189.677.734.375,00;72702007812500,00;19258205289;0.0;0.0;;
27/09/2019;811.310.107.421.875,00;82.715.205.078.125,00;79.659.228.515.625,00;8.251.845.703.125,00;-803058261718750,00;16408941156;0.0;0.0;;
28/09/2019;82.512.734.375,00;82.856.171.875,00;8.125.431.640.625,00;82.459.150.390.625,00;82376637656250,00;14141152736;0.0;0.0;;
29/09/2019;8.246.037.109.375,00;826.170.703.125,00;79.904.970.703.125,00;8.104.185.546.875,00;-141851562500,00;13034629109;0.0;0.0;;
30/09/2019;81.042.265.625,00;83.142.314.453.125,00;78.307.587.890.625,00;82.938.681.640.625,00;82857639375000,00;17115474183;0.0;0.0;;
01/10/2019;8.299.720.703.125,00;84.976.923.828.125,00;82.326.796.875,00;83.432.763.671.875,00;75133042968750,00;15305343413;0.0;0.0;;
02/10/2019;8.344.212.890.625,00;83.930.419.921.875,00;82.276.953.125,00;83.930.419.921.875,00;75586207031250,00;13125712443;0.0;0.0;;
03/10/2019;83.907.744.140.625,00;84.142.275.390.625,00;814.643.701.171.875,00;82.599.921.875,00;-83825144218750,00;13668823409;0.0;0.0;;
04/10/2019;8.259.494.140.625,00;82.600.556.640.625,00;815.123.681.640.625,00;8.205.939.453.125,00;-53554687500,00;13139456229;0.0;0.0;;
05/10/2019;82.101.494.140.625,00;82.155.263.671.875,00;807.112.060.546.875,00;815.150.048.828.125,00;733048554687500,00;12200497197;0.0;0.0;;
06/10/2019;8.149.876.953.125,00;816.141.015.625,00;79.588.505.859.375,00;798.815.576.171.875,00;790665699218750,00;13160830305;0.0;0.0;;
07/10/2019;798.912.060.546.875,00;83.084.501.953.125,00;790.576.611.328.125,00;8.245.623.046.875,00;-790666437500000,00;18009742607;0.0;0.0;;
08/10/2019;8.246.849.609.375,00;833.271.484.375,00;818.576.318.359.375,00;8.228.783.203.125,00;-18066406250,00;15592264032;0.0;0.0;;
09/10/2019;82.298.408.203.125,00;86.277.060.546.875,00;8.169.298.828.125,00;8.595.740.234.375,00;-73702667968750,00;19384942333;0.0;0.0;;
10/10/2019;85.852.802.734.375,00;86.252.724.609.375,00;847.193.359.375,00;85.864.736.328.125,00;11933593750,00;17618660671;0.0;0.0;;
11/10/2019;85.852.626.953.125,00;87.217.802.734.375,00;8.316.181.640.625,00;83.217.568.359.375,00;-2635058593750,00;19604381101;0.0;0.0;;
12/10/2019;83.156.650.390.625,00;84.152.421.875,00;83.133.408.203.125,00;83.365.556.640.625,00;208906250000,00;14532641605;0.0;0.0;;
13/10/2019;833.690.234.375,00;847.098.828.125,00;82.766.123.046.875,00;8.321.005.859.375,00;7487315625000,00;13808286059;0.0;0.0;;
14/10/2019;832.083.203.125,00;8.390.208.984.375,00;8.284.130.859.375,00;83.746.865.234.375,00;82914782031250,00;15151387859;0.0;0.0;;
15/10/2019;83.734.580.078.125,00;841.071.484.375,00;818.270.654.296.875,00;8.205.369.140.625,00;-75529210937500,00;15220412632;0.0;0.0;;
16/10/2019;82.046.748.046.875,00;82.168.125,00;798.508.984.375,00;804.752.685.546.875,00;722705937500000,00;16071646996;0.0;0.0;;
17/10/2019;80.478.125,00;813.483.154.296.875,00;800.094.287.109.375,00;81.039.111.328.125,00;81039030850000,00;14313052244;0.0;0.0;;
18/10/2019;810.093.359.375,00;813.841.357.421.875,00;79.021.640.625,00;797.320.751.953.125,00;796510658593750,00;15651592610;0.0;0.0;;
19/10/2019;79.738.037.109.375,00;808.262.939.453.125,00;794.477.685.546.875,00;7.988.560.546.875,00;-71749476562500,00;13797825640;0.0;0.0;;
20/10/2019;799.780.712.890.625,00;8.281.818.359.375,00;7.949.439.453.125,00;8.222.078.125,00;-799772490812500,00;15504249442;0.0;0.0;;
21/10/2019;8.225.115.234.375,00;82.966.943.359.375,00;8.196.416.015.625,00;8.243.720.703.125,00;18605468750,00;15868748866;0.0;0.0;;
22/10/2019;824.340.234.375,00;82.966.513.671.875,00;8.074.462.890.625,00;8.078.203.125,00;-816262031250,00;16803377857;0.0;0.0;;
23/10/2019;8.076.228.515.625,00;809.299.951.171.875,00;746.932.275.390.625,00;7.514.671.875,00;-8068713843750,00;21942878958;0.0;0.0;;
24/10/2019;750.972.802.734.375,00;753.286.767.578.125,00;744.698.876.953.125,00;749.348.876.953.125,00;-1623925781250,00;16268708849;0.0;0.0;;
25/10/2019;7.490.703.125,00;86.915.400.390.625,00;7.479.984.375,00;86.607.001.953.125,00;86599511250000,00;28705065488;0.0;0.0;;
26/10/2019;86.675.771.484.375,00;10.021.744.140.625,00;86.626.220.703.125,00;924.497.265.625,00;-85751274218750,00;44496255609;0.0;0.0;;
27/10/2019;924.170.703.125,00;9.749.529.296.875,00;91.125.419.921.875,00;955.171.484.375,00;31000781250,00;32593129501;0.0;0.0;;
28/10/2019;95.651.015.625,00;98.051.181.640.625,00;92.561.484.375,00;92.561.484.375,00;-3089531250,00;30948255332;0.0;0.0;;
29/10/2019;92.484.404.296.875,00;95.161.806.640.625,00;92.326.484.375,00;94.276.875,00;-92484310020000,00;28426779937;0.0;0.0;;
30/10/2019;9.422.462.890.625,00;94.268.740.234.375,00;90.853.701.171.875,00;92.057.265.625,00;-9330405625000,00;27706531577;0.0;0.0;;
31/10/2019;92.024.580.078.125,00;93.831.611.328.125,00;90.287.177.734.375,00;91.995.849.609.375,00;-28730468750,00;26583653947;0.0;0.0;;
01/11/2019;91.939.921.875,00;92.756.572.265.625,00;91.320.478.515.625,00;92.611.044.921.875,00;92519105000000,00;24324691031;0.0;0.0;;
